//con restarted
470523, 0.992, 0.996, 0.749,0.37,1.785, 210.706
470533, 0.990, 0.995, 0.750,0.38,1.785, 143.148
470543, 0.992, 0.997, 0.751,0.39,1.785, 97.033
470553, 0.996, 1.002, 0.751,0.40,1.785, 65.775
470563, 0.997, 1.003, 0.751,0.41,1.785, 45.828
470573, 0.998, 1.003, 0.752,0.42,1.785, 32.564
470583, 0.996, 1.001, 0.752,0.43,1.785, 24.381
470593, 0.994, 1.000, 0.753,0.44,1.785, 18.785
470603, 0.995, 1.001, 0.753,0.44,1.785, 14.312
470612, 0.994, 1.000, 0.753,0.45,1.785, 12.039
470623, 0.995, 1.001, 0.753,0.45,1.785, 9.781
470633, 1.000, 1.006, 0.753,0.44,1.785, 7.400
470643, 0.999, 1.004, 0.752,0.44,1.785, 7.344
470653, 1.002, 1.008, 0.752,0.42,1.785, 5.935
470663, 1.005, 1.010, 0.751,0.40,1.785, 5.210
470673, 1.004, 1.009, 0.752,0.38,1.785, 5.829
470683, 1.009, 1.013, 0.752,0.35,1.785, 4.537
470693, 1.009, 1.013, 0.752,0.31,1.785, 4.898
470703, 1.011, 1.014, 0.752,0.26,1.785, 4.469
470713, 1.018, 1.020, 0.752,0.20,1.785, 3.032
470723, 1.023, 1.024, 0.751,0.13,1.785, 2.447
470733, 1.026, 1.027, 0.751,0.04,1.785, 2.326
470743, 1.032, 1.031, 0.751,-0.05,1.785, 1.794
470753, 1.039, 1.037, 0.751,-0.15,1.785, 0.748
470763, 1.042, 1.039, 0.751,-0.26,1.785, 1.133
470773, 1.046, 1.041, 0.752,-0.39,1.785, 1.212
470782, 1.049, 1.042, 0.752,-0.52,1.785, 1.440
470793, 1.053, 1.044, 0.752,-0.67,1.785, 1.068
470803, 1.055, 1.045, 0.752,-0.82,1.785, 1.369
470813, 1.058, 1.045, 0.752,-0.98,1.785, 1.335
470823, 1.063, 1.048, 0.752,-1.15,1.785, 0.808
470833, 1.068, 1.051, 0.751,-1.32,1.785, 0.064
470843, 1.070, 1.051, 0.751,-1.50,1.785, 0.513
470853, 1.079, 1.057, 0.751,-1.68,1.785, -0.989
470863, 1.083, 1.059, 0.751,-1.86,1.785, -0.828
470873, 1.090, 1.063, 0.751,-2.04,1.785, -1.467
470883, 1.092, 1.063, 0.751,-2.23,1.785, -0.858
470893, 1.098, 1.066, 0.751,-2.41,1.785, -1.253
