masse_A
t,x,y
3.564666667E0,4.380522311E-1,-3.780939738E-1
3.564766667E0,4.385030845E-1,-3.776379484E-1
3.631300000E0,4.382889549E-1,-3.775324772E-1
3.631400000E0,4.372596006E-1,-3.785046815E-1
3.697922222E0,4.376956213E-1,-3.775281233E-1
3.698022222E0,4.375784585E-1,-3.776535440E-1
3.764555556E0,4.368138085E-1,-3.783188014E-1
3.764655556E0,4.375778824E-1,-3.777424423E-1
3.831188889E0,4.369889817E-1,-3.780352273E-1
3.831288889E0,4.373043901E-1,-3.775175288E-1
3.897811111E0,4.365381877E-1,-3.782423711E-1
3.897911111E0,4.365480417E-1,-3.776326245E-1
3.964444444E0,4.358049736E-1,-3.778400523E-1
3.964544444E0,4.357966537E-1,-3.779533101E-1
4.031077778E0,4.357810179E-1,-3.780089544E-1
4.031177778E0,4.353441765E-1,-3.782759062E-1
4.097700000E0,4.363783897E-1,-3.778060996E-1
4.097800000E0,4.360274176E-1,-3.779162437E-1
4.131022222E0,4.358128337E-1,-3.779992871E-1
4.197644444E0,4.359910717E-1,-3.780427605E-1
4.197744444E0,4.360257105E-1,-3.782351050E-1
4.264277778E0,4.360022537E-1,-3.784893483E-1
4.264377778E0,4.360289798E-1,-3.785461942E-1
4.330900000E0,4.360586466E-1,-3.786325586E-1
4.331000000E0,4.350527434E-1,-3.792622566E-1
4.397533333E0,4.360725745E-1,-3.788847625E-1
4.397633333E0,4.361058112E-1,-3.787642787E-1
4.464166667E0,4.350050107E-1,-3.792801515E-1
4.464266667E0,4.360955883E-1,-3.789543920E-1
4.530788889E0,4.360932805E-1,-3.788266891E-1
4.530888889E0,4.350176092E-1,-3.793923712E-1
4.597422222E0,4.361261495E-1,-3.789377132E-1
4.597522222E0,4.350411052E-1,-3.794333860E-1
4.664055556E0,4.357341945E-1,-3.792570739E-1
4.664155556E0,4.358597820E-1,-3.793380080E-1
4.730677778E0,4.353086708E-1,-3.795479711E-1
4.730777778E0,4.356830419E-1,-3.794451534E-1
4.797311111E0,4.355173630E-1,-3.794870497E-1
4.797411111E0,4.353110233E-1,-3.796465516E-1
4.863944444E0,4.351374786E-1,-3.798068712E-1
4.864044444E0,4.367427145E-1,-3.791772673E-1
4.930566667E0,4.357284629E-1,-3.790982609E-1
4.930666667E0,4.352859455E-1,-3.787009717E-1
4.997200000E0,4.358078760E-1,-3.778587137E-1
4.997300000E0,4.352142185E-1,-3.773190321E-1
5.063822222E0,4.357213279E-1,-3.767733350E-1
5.063922222E0,4.356950555E-1,-3.755129861E-1
5.130455556E0,4.353889937E-1,-3.750463084E-1
5.130555556E0,4.362566022E-1,-3.734296747E-1
5.163766667E0,4.360472496E-1,-3.726456761E-1
5.230400000E0,4.371485093E-1,-3.701418004E-1
5.230500000E0,4.366073757E-1,-3.699815553E-1
5.297033333E0,4.375925331E-1,-3.673545860E-1
5.297133333E0,4.373641002E-1,-3.665251261E-1
5.363655556E0,4.366598034E-1,-3.651880196E-1
5.363755556E0,4.365182478E-1,-3.634493704E-1
5.430288889E0,4.380542912E-1,-3.608843697E-1
5.430388889E0,4.371676004E-1,-3.593640417E-1
5.496922222E0,4.366093758E-1,-3.578603278E-1
5.497022222E0,4.379510066E-1,-3.550617146E-1
5.563544444E0,4.368092792E-1,-3.537615845E-1
5.563644444E0,4.381299032E-1,-3.509907051E-1
5.630177778E0,4.376659361E-1,-3.490454229E-1
5.630277778E0,4.376728807E-1,-3.467330898E-1
5.696811111E0,4.376721970E-1,-3.445151112E-1
5.696911111E0,4.370010509E-1,-3.424108764E-1
5.763433333E0,4.376808389E-1,-3.395079800E-1
5.763533333E0,4.373415228E-1,-3.373180961E-1
5.830066667E0,4.373020861E-1,-3.349590416E-1
5.830166667E0,4.371633663E-1,-3.322940446E-1
5.896688889E0,4.372017347E-1,-3.295720556E-1
5.896788889E0,4.372068662E-1,-3.270990337E-1
5.963322222E0,4.372721892E-1,-3.247908005E-1
5.963422222E0,4.367312000E-1,-3.225391951E-1
6.029955556E0,4.359590493E-1,-3.201885054E-1
6.030055556E0,4.354267915E-1,-3.172896899E-1
6.096577778E0,4.362176131E-1,-3.145638556E-1
6.096677778E0,4.359405613E-1,-3.118781912E-1
6.163211111E0,4.358088012E-1,-3.088655134E-1
