//con restarted
// x-controller variables
//#define xOuterP 1.4
//#define xOuterI 6/8
//#define xOuterD 1.4
//#define xOuterGain 5.5
//
//#define xInnerP 0.25
//#define xInnerI 0.0
//#define xInnerD 1
//#define xInnerGain 10
149774, 0.501, 0.500, 0.750,-0.03,3.500, 0.750, 0.090, 792.929
149783, 0.504, 0.507, 0.751,0.24,3.500, 0.750, -0.731, 535.465
149793, 0.507, 0.513, 0.752,0.41,3.500, 0.750, -1.116, 363.720
149804, 0.513, 0.519, 0.753,0.51,3.500, 0.750, -1.228, 248.806
149814, 0.510, 0.518, 0.754,0.56,3.500, 0.750, -1.163, 174.116
149823, 0.511, 0.519, 0.754,0.57,3.500, 0.750, -0.993, 123.548
149833, 0.517, 0.524, 0.753,0.55,3.500, 0.750, -0.784, 88.605
149843, 0.518, 0.525, 0.754,0.52,3.500, 0.750, -0.558, 66.299
149853, 0.518, 0.525, 0.753,0.48,3.500, 0.750, -0.358, 51.846
149863, 0.519, 0.525, 0.753,0.44,3.500, 0.750, -0.183, 41.893
149873, 0.518, 0.523, 0.752,0.39,3.500, 0.750, -0.027, 35.969
149883, 0.520, 0.525, 0.752,0.35,3.500, 0.750, 0.101, 30.975
149894, 0.524, 0.528, 0.752,0.31,3.500, 0.750, 0.202, 27.488
149903, 0.526, 0.529, 0.752,0.27,3.500, 0.750, 0.281, 25.357
149913, 0.529, 0.532, 0.752,0.24,3.500, 0.750, 0.340, 23.766
149923, 0.530, 0.532, 0.753,0.20,3.500, 0.750, 0.384, 23.208
149934, 0.533, 0.535, 0.752,0.17,3.500, 0.750, 0.421, 22.273
149943, 0.539, 0.541, 0.753,0.13,3.500, 0.750, 0.454, 20.884
149953, 0.541, 0.542, 0.753,0.09,3.500, 0.750, 0.502, 20.976
149963, 0.544, 0.544, 0.753,0.04,3.500, 0.750, 0.557, 20.851
149974, 0.551, 0.550, 0.753,-0.01,3.500, 0.750, 0.620, 19.674
149983, 0.553, 0.552, 0.753,-0.07,3.500, 0.750, 0.700, 19.958
149993, 0.557, 0.555, 0.753,-0.14,3.500, 0.750, 0.794, 20.006
150003, 0.560, 0.557, 0.753,-0.23,3.500, 0.750, 0.910, 19.936
