506910252, 1.01, 0.02,-0.05,1.50
506920260, 1.01, 0.02,-0.17,1.50
506930112, 1.01, 0.02,-0.25,1.50
506940104, 1.00, 0.02,-0.30,1.50
506950100, 1.01, 0.02,-0.33,1.50
506960108, 1.01, 0.02,-0.36,1.50
506970096, 1.01, 0.02,-0.40,1.50
506980084, 1.01, 0.02,-0.49,1.50
506990096, 1.01, 0.02,-0.66,1.50
507000100, 1.01, 0.02,-0.89,1.50
507010100, 1.01, 0.02,-1.22,1.50
507020084, 1.02, 0.02,-1.63,1.50
507030092, 1.02, 0.02,-2.12,1.50
507040104, 1.02, 0.02,-2.68,1.50
507050120, 1.02, 0.02,-3.24,1.50
507060108, 1.02, 0.02,-3.78,1.50
507070040, 1.02, 0.02,-4.24,1.50
507080116, 1.03, 0.02,-4.63,1.50
507090060, 1.03, 0.02,-4.92,1.50
507100048, 1.03, 0.02,-5.12,1.50
507110060, 1.03, 0.02,-5.25,1.50
507120072, 1.03, 0.02,-5.29,1.50
507130084, 1.03, 0.02,-5.25,1.50
507140088, 1.03, 0.02,-5.15,1.50
507150092, 1.03, 0.02,-5.00,1.50
507160016, 1.03, 0.02,-4.81,1.50
507170112, 1.03, 0.02,-4.59,1.50
507180072, 1.03, 0.02,-4.37,1.50
507190028, 1.03, 0.02,-4.17,1.50
507200116, 1.03, 0.02,-3.98,1.50
507210076, 1.03, 0.02,-3.82,1.50
507220032, 1.03, 0.02,-3.67,1.50
507230120, 1.03, 0.02,-3.53,1.50
507240076, 1.03, 0.02,-3.43,1.50
507250020, 1.03, 0.02,-3.36,1.50
507260112, 1.03, 0.02,-3.30,1.50
507270056, 1.03, 0.02,-3.28,1.50
507280008, 1.03, 0.02,-3.26,1.50
507290108, 1.03, 0.02,-3.23,1.50
507300064, 1.04, 0.02,-3.20,1.50
507310008, 1.04, 0.02,-3.16,1.50
507320080, 1.04, 0.02,-3.12,1.50
507330004, 1.04, 0.02,-3.08,1.50
507340096, 1.04, 0.02,-3.03,1.50
507350040, 1.04, 0.02,-2.96,1.50
507360124, 1.04, 0.02,-2.88,1.50
507370064, 1.05, 0.02,-2.75,1.50
507380016, 1.05, 0.02,-2.62,1.50
507390096, 1.05, 0.02,-2.47,1.50
507400028, 1.05, 0.02,-2.34,1.50
507410124, 1.05, 0.02,-2.22,1.50
