Starting...
XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00 GainX = 1 GainTheta = 18
55293,1.41,2.00,-5.42,-4.40
55304,1.39,2.00,-5.48,-1.54
55314,1.39,2.00,-5.47,0.66
55323,1.39,2.00,-5.37,3.47
55333,1.39,2.00,-5.22,5.06
55344,1.39,2.00,-4.99,7.59
55354,1.39,2.00,-4.69,9.76
55363,1.38,2.00,-4.31,12.35
55373,1.36,2.00,-3.87,14.29
55384,1.38,2.00,-3.39,15.51
55394,1.38,2.00,-2.85,17.42
55404,1.39,2.00,-2.30,17.79
55413,1.36,2.00,-1.72,18.80
55424,1.38,2.00,-1.14,18.78
55434,1.38,2.00,-0.55,19.10
55444,1.38,2.00,0.02,18.53
55453,1.37,2.00,0.57,17.97
55463,1.38,2.00,1.07,16.36
55474,1.38,2.00,1.54,15.48
55484,1.38,2.00,1.96,13.90
55494,1.39,2.00,2.32,12.02
55503,1.39,2.00,2.61,9.84
55514,1.39,2.00,2.82,7.34
55524,1.39,2.00,2.95,4.84
55534,1.40,2.00,3.00,2.31
55543,1.40,2.00,2.97,-0.20
55554,1.40,2.00,2.86,-2.72
55564,1.41,2.00,2.68,-4.94
55574,1.41,2.00,2.41,-7.78
55584,1.41,2.00,2.08,-9.70
55593,1.42,2.00,1.67,-12.24
55604,1.42,2.00,1.22,-13.52
55614,1.42,2.00,0.71,-15.43
55624,1.43,2.00,0.16,-16.69
55633,1.42,2.00,-0.41,-17.33
55644,1.41,2.00,-1.00,-18.01
55654,1.42,2.00,-1.60,-18.36
55664,1.43,2.00,-2.18,-17.78
55674,1.41,2.00,-2.75,-17.40
55684,1.43,2.00,-3.30,-16.92
55694,1.42,2.00,-3.80,-15.30
55704,1.42,2.00,-4.25,-13.78
55714,1.42,2.00,-4.66,-12.53
55725,1.42,2.00,-5.01,-10.67
55734,1.41,2.00,-5.29,-8.46
55744,1.41,2.00,-5.49,-5.98
55754,1.40,2.00,-5.62,-3.77
55764,1.41,2.00,-5.68,-1.60
55774,1.40,2.00,-5.64,1.57
55784,1.40,2.00,-5.52,4.10
55794,1.40,2.00,-5.33,6.30
55804,1.39,2.00,-5.06,8.84
55815,1.39,2.00,-4.72,11.04
55824,1.39,2.00,-4.31,13.27
55834,1.39,2.00,-3.83,15.46
55844,1.40,2.00,-3.30,17.09
55855,1.39,2.00,-2.74,18.06
55864,1.39,2.00,-2.15,19.04
55874,1.37,2.00,-1.53,20.08
55884,1.37,2.00,-0.92,19.76
55895,1.38,2.00,-0.32,19.42
55905,1.39,2.00,0.27,19.20
55914,1.39,2.00,0.84,18.55
55924,1.39,2.00,1.37,17.33
55934,1.39,2.00,1.84,15.47
55945,1.39,2.00,2.26,13.91
55954,1.38,2.00,2.62,12.07
55964,1.38,2.00,2.89,9.26
55974,1.40,2.00,3.09,7.03
55985,1.40,2.00,3.21,4.53
55994,1.40,2.00,3.23,1.38
56004,1.39,2.00,3.17,-1.10
56014,1.39,2.00,3.03,-3.63
56025,1.41,2.00,2.82,-5.87
56035,1.40,2.00,2.52,-8.68
56044,1.40,2.00,2.16,-10.60
56054,1.42,2.00,1.72,-13.18
56065,1.40,2.00,1.23,-14.70
56075,1.41,2.00,0.70,-16.03
56085,1.41,2.00,0.12,-17.61
56094,1.43,2.00,-0.47,-17.92
56104,1.43,2.00,-1.07,-18.37
56115,1.41,2.00,-1.67,-18.33
56125,1.43,2.00,-2.27,-18.40
56134,1.43,2.00,-2.82,-16.87
56144,1.43,2.00,-3.35,-16.25
56155,1.43,2.00,-3.85,-15.34
56165,1.42,2.00,-4.28,-13.13
56175,1.41,2.00,-4.66,-11.59
56184,1.42,2.00,-4.97,-9.44
56195,1.41,2.00,-5.22,-7.51
56205,1.41,2.00,-5.39,-5.04
56215,1.41,2.00,-5.49,-2.83
56224,1.40,2.00,-5.49,0.32
56235,1.40,2.00,-5.40,3.16
56245,1.40,2.00,-5.24,5.35
56255,1.40,2.00,-5.00,7.90
56265,1.39,2.00,-4.69,10.09
56274,1.37,2.00,-4.29,13.01
56285,1.39,2.00,-3.84,14.53
56295,1.39,2.00,-3.33,16.46
56305,1.39,2.00,-2.76,18.38
56315,1.39,2.00,-2.15,19.67
56325,1.38,2.00,-1.51,20.68
56335,1.39,2.00,-0.85,21.26
56345,1.38,2.00,-0.20,21.04
56355,1.38,2.00,0.45,21.09
56365,1.39,2.00,1.08,20.48
56375,1.39,2.00,1.69,19.83
56385,1.37,2.00,2.25,18.34
56395,1.39,2.00,2.76,16.77
56406,1.38,2.00,3.21,14.93
56415,1.39,2.00,3.59,12.70
56425,1.39,2.00,3.90,10.54
56435,1.40,2.00,4.13,8.02
56445,1.40,2.00,4.27,5.20
56455,1.41,2.00,4.33,2.67
56465,1.41,2.00,4.29,-0.47
56475,1.41,2.00,4.18,-2.67
56485,1.42,2.00,3.99,-5.19
56496,1.42,2.00,3.71,-8.06
56505,1.43,2.00,3.36,-10.28
56515,1.43,2.00,2.94,-12.49
56525,1.42,2.00,2.46,-14.39
56536,1.44,2.00,1.93,-16.04
56545,1.42,2.00,1.37,-16.96
56555,1.44,2.00,0.78,-17.97
56565,1.44,2.00,0.19,-17.97
56576,1.42,2.00,-0.40,-17.94
56586,1.44,2.00,-0.98,-17.72
56595,1.43,2.00,-1.55,-17.40
56605,1.44,2.00,-2.08,-16.21
56615,1.42,2.00,-2.57,-14.91
56626,1.44,2.00,-3.00,-13.12
56635,1.41,2.00,-3.38,-11.49
56645,1.40,2.00,-3.70,-9.61
56655,1.43,2.00,-3.96,-7.83
56666,1.42,2.00,-4.13,-4.98
56676,1.41,2.00,-4.23,-2.77
56685,1.42,2.00,-4.25,-0.28
56695,1.42,2.00,-4.20,1.93
56706,1.42,2.00,-4.06,4.76
56716,1.41,2.00,-3.84,7.29
56726,1.41,2.00,-3.54,9.81
56735,1.40,2.00,-3.19,11.45
56745,1.41,2.00,-2.76,13.92
56756,1.41,2.00,-2.28,15.54
56766,1.41,2.00,-1.74,17.44
56775,1.40,2.00,-1.16,18.80
56785,1.41,2.00,-0.56,19.36
56796,1.40,2.00,0.05,19.80
56806,1.41,2.00,0.68,20.37
56815,1.40,2.00,1.32,20.78
56825,1.41,2.00,1.94,20.15
56836,1.41,2.00,2.54,19.52
56846,1.41,2.00,3.11,18.56
56856,1.41,2.00,3.62,16.81
56865,1.42,2.00,4.09,15.51
56876,1.42,2.00,4.50,13.65
56886,1.42,2.00,4.84,11.48
56896,1.42,2.00,5.11,9.30
56906,1.43,2.00,5.29,6.46
56915,1.43,2.00,5.39,3.94
56926,1.44,2.00,5.42,1.74
56936,1.44,2.00,5.37,-0.78
56946,1.44,2.00,5.24,-3.28
56955,1.45,2.00,5.03,-5.85
56966,1.45,2.00,4.75,-8.04
56976,1.45,2.00,4.40,-10.27
56986,1.46,2.00,3.98,-12.47
56996,1.46,2.00,3.52,-13.77
57006,1.45,2.00,3.01,-15.34
57016,1.46,2.00,2.48,-16.05
57026,1.47,2.00,1.91,-17.33
57036,1.47,2.00,1.35,-17.00
57046,1.46,2.00,0.78,-17.38
57056,1.46,2.00,0.24,-16.46
57066,1.47,2.00,-0.28,-15.81
57076,1.47,2.00,-0.75,-14.33
57086,1.46,2.00,-1.19,-13.34
57096,1.46,2.00,-1.59,-12.14
57106,1.45,2.00,-1.92,-9.92
57116,1.46,2.00,-2.20,-8.42
57126,1.45,2.00,-2.41,-6.18
57137,1.45,2.00,-2.55,-4.01
57146,1.45,2.00,-2.62,-1.80
57156,1.45,2.00,-2.62,0.38
57166,1.45,2.00,-2.55,2.59
57177,1.45,2.00,-2.41,4.79
57186,1.45,2.00,-2.20,7.02
57196,1.44,2.00,-1.93,8.92
57206,1.45,2.00,-1.60,10.81
57217,1.42,2.00,-1.21,12.76
57227,1.44,2.00,-0.79,13.68
57236,1.44,2.00,-0.31,15.60
57246,1.43,2.00,0.18,15.99
57256,1.42,2.00,0.71,17.27
57267,1.44,2.00,1.25,17.53
57276,1.44,2.00,1.79,17.60
57286,1.44,2.00,2.31,17.00
57296,1.42,2.00,2.82,16.74
57307,1.44,2.00,3.31,16.08
57317,1.45,2.00,3.77,15.16
57326,1.45,2.00,4.19,13.92
57336,1.45,2.00,4.55,12.06
57347,1.45,2.00,4.85,10.18
57357,1.45,2.00,5.09,8.31
57366,1.45,2.00,5.28,6.74
57376,1.46,2.00,5.39,4.22
57387,1.46,2.00,5.41,1.39
57397,1.46,2.00,5.37,-0.49
57407,1.46,2.00,5.29,-1.75
57416,1.46,2.00,5.11,-4.90
57426,1.47,2.00,4.88,-6.49
57437,1.47,2.00,4.57,-9.04
57447,1.48,2.00,4.24,-9.67
57456,1.48,2.00,3.84,-11.92
57466,1.48,2.00,3.44,-11.91
57477,1.47,2.00,2.97,-14.11
57487,1.49,2.00,2.49,-14.46
57497,1.49,2.00,2.01,-14.49
57506,1.48,2.00,1.54,-14.21
57517,1.49,2.00,1.07,-14.27
57527,1.49,2.00,0.61,-13.92
57537,1.49,2.00,0.19,-12.69
57547,1.49,2.00,-0.20,-11.79
57556,1.47,2.00,-0.55,-10.48
57567,1.49,2.00,-0.84,-8.71
57577,1.48,2.00,-1.07,-6.80
57587,1.49,2.00,-1.25,-5.26
57596,1.47,2.00,-1.37,-3.33
57607,1.47,2.00,-1.43,-1.46
57617,1.48,2.00,-1.43,0.41
57627,1.47,2.00,-1.38,1.99
57637,1.47,2.00,-1.27,3.89
57647,1.47,2.00,-1.08,6.43
57657,1.47,2.00,-0.86,7.36
57667,1.47,2.00,-0.57,9.57
57677,1.47,2.00,-0.24,10.85
57687,1.47,2.00,0.13,12.16
57697,1.46,2.00,0.53,13.12
57707,1.46,2.00,0.94,13.45
57717,1.47,2.00,1.39,14.68
57728,1.46,2.00,1.82,14.12
57737,1.47,2.00,2.26,14.45
57747,1.46,2.00,2.69,14.14
57757,1.47,2.00,3.10,13.54
57767,1.47,2.00,3.49,12.90
57777,1.46,2.00,3.85,12.03
57787,1.47,2.00,4.18,11.06
57797,1.48,2.00,4.46,9.52
57807,1.48,2.00,4.68,7.61
57818,1.48,2.00,4.85,6.07
57827,1.49,2.00,4.97,4.48
57837,1.48,2.00,5.02,2.31
57847,1.49,2.00,5.02,0.72
57858,1.48,2.00,4.94,-1.76
57867,1.50,2.00,4.81,-3.40
57877,1.50,2.00,4.64,-4.65
57887,1.51,2.00,4.39,-7.19
57897,1.50,2.00,4.12,-7.79
57908,1.51,2.00,3.80,-9.43
57917,1.51,2.00,3.41,-11.65
57927,1.49,2.00,2.99,-12.52
57937,1.51,2.00,2.62,-11.06
57948,1.52,2.00,2.18,-13.26
57958,1.52,2.00,1.75,-13.03
57967,1.51,2.00,1.32,-12.96
57977,1.50,2.00,0.87,-13.63
57988,1.54,2.00,0.47,-12.13
57998,1.52,2.00,0.09,-11.48
58007,1.52,2.00,-0.21,-8.97
58017,1.50,2.00,-0.52,-9.31
58028,1.50,2.00,-0.78,-7.71
58038,1.51,2.00,-0.95,-4.94
58048,1.51,2.00,-1.06,-3.06
58057,1.49,2.00,-1.12,-1.45
58067,1.50,2.00,-1.14,-0.22
58078,1.50,2.00,-1.07,2.62
58088,1.50,2.00,-0.93,4.82
58097,1.50,2.00,-0.73,6.70
58107,1.50,2.00,-0.47,8.61
58118,1.49,2.00,-0.18,9.60
58128,1.50,2.00,0.17,11.49
58138,1.50,2.00,0.56,12.74
58147,1.48,2.00,0.98,13.76
58158,1.49,2.00,1.43,14.69
58168,1.48,2.00,1.88,14.75
58178,1.49,2.00,2.36,15.64
58187,1.49,2.00,2.84,15.70
58198,1.47,2.00,3.31,15.46
58208,1.51,2.00,3.75,14.45
58218,1.49,2.00,4.17,13.88
58228,1.50,2.00,4.55,12.65
58237,1.49,2.00,4.90,11.75
58248,1.50,2.00,5.23,11.06
58258,1.51,2.00,5.48,8.58
58268,1.51,2.00,5.68,7.01
58277,1.52,2.00,5.81,4.81
58288,1.51,2.00,5.89,3.26
58298,1.51,2.00,5.90,1.08
58308,1.52,2.00,5.85,-0.83
58318,1.52,2.00,5.72,-3.35
58328,1.52,2.00,5.54,-4.94
58338,1.53,2.00,5.31,-6.53
58348,1.54,2.00,5.02,-8.44
58358,1.53,2.00,4.67,-10.32
58368,1.54,2.00,4.28,-11.65
58378,1.54,2.00,3.84,-13.21
58388,1.54,2.00,3.41,-12.92
58398,1.53,2.00,2.96,-13.52
58408,1.53,2.00,2.49,-14.19
58418,1.53,2.00,2.04,-13.60
58428,1.54,2.00,1.57,-14.24
58438,1.55,2.00,1.17,-12.09
58448,1.55,2.00,0.75,-12.73
58459,1.55,2.00,0.37,-11.56
58468,1.54,2.00,0.03,-10.21
58478,1.54,2.00,-0.25,-8.38
58488,1.55,2.00,-0.50,-7.49
58499,1.53,2.00,-0.66,-4.61
58508,1.55,2.00,-0.77,-3.09
58518,1.52,2.00,-0.85,-2.08
58528,1.53,2.00,-0.82,1.34
58539,1.52,2.00,-0.76,2.32
58549,1.53,2.00,-0.64,4.16
58558,1.52,2.00,-0.43,7.04
58568,1.52,2.00,0.16,19.02
58578,1.52,2.00,0.17,0.79
58589,1.52,2.00,0.54,12.08
58598,1.51,2.00,0.95,13.43
58608,1.53,2.00,1.40,14.62
58618,1.51,2.00,1.87,15.33
58629,1.53,2.00,2.37,16.21
58639,1.52,2.00,2.89,16.96
58648,1.52,2.00,3.41,16.93
58658,1.53,2.00,3.89,15.70
58669,1.53,2.00,4.36,15.43
58679,1.51,2.00,4.79,14.21
58689,1.54,2.00,5.18,12.95
58698,1.53,2.00,5.55,12.31
58708,1.53,2.00,5.87,10.78
58719,1.52,2.00,6.12,8.63
58729,1.53,2.00,6.32,7.05
58738,1.53,2.00,6.45,4.85
58748,1.54,2.00,6.51,2.63
58759,1.54,2.00,6.52,1.08
58769,1.56,2.00,6.45,-1.48
58779,1.55,2.00,6.31,-3.66
58788,1.55,2.00,6.12,-5.23
58799,1.55,2.00,5.86,-7.48
58809,1.55,2.00,5.54,-9.36
58819,1.55,2.00,5.17,-10.92
58828,1.57,2.00,4.76,-12.25
58839,1.57,2.00,4.31,-13.53
58849,1.57,2.00,3.83,-14.49
58859,1.57,2.00,3.31,-15.78
58869,1.57,2.00,2.80,-15.51
58878,1.57,2.00,2.30,-15.21
58889,1.57,2.00,1.80,-15.21
58899,1.56,2.00,1.31,-14.90
58909,1.57,2.00,0.83,-14.65
58918,1.57,2.00,0.39,-13.42
58929,1.57,2.00,-0.01,-12.10
58939,1.57,2.00,-0.38,-11.28
58949,1.55,2.00,-0.71,-9.97
58959,1.57,2.00,-0.99,-8.44
58969,1.56,2.00,-1.22,-6.88
58979,1.56,2.00,-1.38,-4.66
58989,1.54,2.00,-1.52,-4.02
58999,1.56,2.00,-1.59,-1.87
59010,1.56,2.00,-1.60,0.02
59019,1.55,2.00,1.55,99.59
59029,1.55,2.00,-0.46,-62.63
59039,1.55,2.00,-1.33,-26.83
59049,1.54,2.00,-1.14,6.37
59059,1.55,2.00,-0.90,7.92
59069,1.54,2.00,-0.63,8.90
59079,1.54,2.00,-0.31,10.48
59089,1.53,2.00,0.03,11.14
59100,1.53,2.00,0.38,11.50
59109,1.52,2.00,0.76,12.46
59119,1.52,2.00,1.12,11.85
59129,1.52,2.00,1.49,12.19
