Starting...
XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00 GainX = 1 GainTheta = 18
50025,0.92,2.00,-1.21,2.23
50035,0.92,2.00,-1.16,2.54
50045,0.92,2.00,-1.11,2.55
50056,0.93,2.00,-1.05,2.85
50065,0.93,2.00,-0.98,3.18
50075,0.93,2.00,-0.90,3.49
50085,0.93,2.00,-0.85,2.54
50096,0.93,2.00,-0.78,3.18
50106,0.93,2.00,-0.70,3.49
50115,0.94,2.00,-0.64,2.85
50125,0.94,2.00,-0.58,2.86
50136,0.94,2.00,-0.52,2.87
50146,0.94,2.00,-0.48,2.24
50156,0.94,2.00,-0.44,2.24
50165,0.94,2.00,-0.40,2.24
50176,0.94,2.00,-0.38,1.61
50186,0.94,2.00,-0.37,1.30
50196,0.95,2.00,-0.37,0.97
50205,0.96,2.00,-0.37,0.96
50215,0.94,2.00,-0.40,0.05
50226,0.95,2.00,-0.44,-0.28
50236,0.95,2.00,-0.48,-0.28
50246,0.96,2.00,-0.53,-0.63
50255,0.95,2.00,-0.61,-1.54
50266,0.96,2.00,-0.69,-1.56
50276,0.94,2.00,-0.76,-1.20
50286,0.97,2.00,-0.86,-2.23
50295,0.95,2.00,-0.97,-2.50
50306,0.97,2.00,-1.06,-1.93
50316,0.97,2.00,-1.18,-2.88
50326,0.97,2.00,-1.29,-2.54
50336,0.97,2.00,-1.40,-2.55
50345,0.97,2.00,-1.51,-2.56
50356,0.97,2.00,-1.62,-2.57
50366,0.97,2.00,-1.73,-2.57
50376,0.97,2.00,-1.83,-2.25
50385,0.97,2.00,-1.92,-1.97
50396,0.97,2.00,-2.01,-1.96
50406,0.98,2.00,-2.08,-1.35
50416,0.97,2.00,-2.14,-1.02
50426,0.98,2.00,-2.20,-1.04
50436,0.97,2.00,-2.24,-0.38
50446,0.98,2.00,-2.25,0.52
50456,0.97,2.00,-2.27,0.25
50466,0.98,2.00,-2.26,1.15
50476,0.97,2.00,-2.23,1.81
50486,0.98,2.00,-2.20,1.79
50496,0.97,2.00,-2.15,2.44
50506,0.98,2.00,-2.08,3.05
50516,0.97,2.00,-2.00,3.39
50526,0.97,2.00,-1.91,3.72
50536,0.97,2.00,-1.80,4.36
50546,0.97,2.00,-1.69,4.34
50556,0.97,2.00,-1.58,4.37
50566,0.97,2.00,-1.46,4.70
50576,0.97,2.00,-1.33,5.00
50586,0.97,2.00,-1.20,5.01
50596,0.97,2.00,-1.07,5.02
50607,0.96,2.00,-0.93,5.37
50616,0.97,2.00,-0.81,4.72
50626,0.97,2.00,-0.69,4.71
50636,0.97,2.00,-0.57,4.73
50647,0.97,2.00,-0.46,4.42
50657,0.97,2.00,-0.37,3.81
50666,0.97,2.00,-0.27,4.11
50676,0.97,2.00,-0.20,3.17
50686,0.97,2.00,-0.14,2.86
50697,0.97,2.00,-0.08,2.87
50706,0.98,2.00,-0.04,2.23
50716,0.97,2.00,-0.02,1.62
50726,0.99,2.00,-0.01,1.26
50737,0.99,2.00,-0.01,0.95
50747,0.99,2.00,-0.03,0.32
50756,0.99,2.00,-0.06,0.02
50766,0.99,2.00,-0.09,0.00
50777,0.99,2.00,-0.13,-0.30
50787,0.99,2.00,-0.19,-0.92
50796,0.99,2.00,-0.26,-1.25
50806,0.99,2.00,-0.34,-1.57
50817,1.00,2.00,-0.40,-0.96
50827,1.00,2.00,-0.48,-1.58
50837,0.98,2.00,-0.57,-1.86
50846,0.99,2.00,-0.65,-1.57
50856,1.00,2.00,-0.74,-1.93
50867,1.00,2.00,-0.81,-1.29
50877,1.00,2.00,-0.88,-1.30
50886,1.00,2.00,-0.96,-1.60
50896,0.98,2.00,-1.02,-0.94
50907,1.01,2.00,-1.07,-0.69
50917,1.00,2.00,-1.11,-0.35
50927,1.01,2.00,-1.15,-0.38
50936,1.00,2.00,-1.18,-0.05
50947,1.01,2.00,-1.19,0.56
50957,1.01,2.00,-1.20,0.56
50967,0.99,2.00,-1.19,1.23
50976,0.99,2.00,-1.16,1.87
50987,1.01,2.00,-1.13,1.83
50997,1.01,2.00,-1.10,1.83
51007,1.02,2.00,-1.03,3.06
51017,1.01,2.00,-0.96,3.09
51026,1.01,2.00,-0.89,3.10
51037,1.01,2.00,-0.82,3.10
51047,1.00,2.00,-0.73,3.76
51057,1.01,2.00,-0.63,4.05
51066,1.02,2.00,-0.53,4.04
51077,0.99,2.00,-0.43,4.11
51087,1.01,2.00,-0.33,4.06
51097,1.02,2.00,-0.23,4.05
51107,1.01,2.00,-0.13,4.08
51117,1.01,2.00,-0.04,3.76
51127,1.00,2.00,0.05,3.81
51137,1.02,2.00,0.13,3.44
51147,1.02,2.00,0.21,3.44
51158,1.02,2.00,0.27,2.82
51167,1.03,2.00,0.32,2.50
51177,1.03,2.00,0.36,2.18
51187,1.02,2.00,0.39,1.89
51197,1.04,2.00,0.41,1.54
51207,1.03,2.00,0.41,0.94
51217,1.03,2.00,0.40,0.62
51227,1.04,2.00,0.38,0.29
51237,1.04,2.00,0.34,-0.33
51248,1.04,2.00,0.31,-0.02
51257,1.06,2.00,0.24,-1.33
51267,1.04,2.00,0.16,-1.59
51277,1.06,2.00,0.08,-1.65
51288,1.05,2.00,-0.01,-1.92
51297,1.05,2.00,-0.09,-1.64
51307,1.05,2.00,-0.19,-2.27
51317,1.04,2.00,-0.30,-2.55
51328,1.06,2.00,-0.40,-2.29
51338,1.04,2.00,-0.50,-2.24
51347,1.06,2.00,-0.61,-2.63
51357,1.06,2.00,-0.71,-2.29
51367,1.06,2.00,-0.81,-2.32
51378,1.06,2.00,-0.90,-2.00
51388,1.06,2.00,-0.99,-2.01
51397,1.07,2.00,-1.06,-1.39
51407,1.06,2.00,-1.13,-1.38
51418,1.06,2.00,-1.19,-1.07
51428,1.07,2.00,-1.23,-0.45
51437,1.06,2.00,-1.26,-0.13
51447,1.05,2.00,-1.27,0.53
51458,1.05,2.00,-1.28,0.53
51468,1.06,2.00,-1.28,0.83
51478,1.05,2.00,-1.25,1.78
51487,1.06,2.00,-1.20,2.39
