XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
15966,1.91,2.00,-0.55,-1.33
15975,1.93,2.00,-0.66,-1.70
15985,1.93,2.00,-0.78,-1.86
15995,1.93,2.00,-0.94,-2.48
16006,1.93,2.00,-1.09,-2.34
16015,1.93,2.00,-1.25,-2.49
16025,1.93,2.00,-1.43,-2.80
16035,1.93,2.00,-1.61,-2.82
16046,1.93,2.00,-1.77,-2.51
16056,1.93,2.00,-1.94,-2.67
16065,1.93,2.00,-2.10,-2.52
16075,1.93,2.00,-2.23,-2.05
16086,1.93,2.00,-2.36,-2.05
16096,1.93,2.00,-2.48,-1.90
16106,1.93,2.00,-2.55,-1.12
16115,1.93,2.00,-2.61,-0.96
16125,1.93,2.00,-2.65,-0.65
16136,1.93,2.00,-2.65,-0.01
16146,1.93,2.00,-2.63,0.30
16155,1.94,2.00,-2.57,0.90
16165,1.93,2.00,-2.49,1.25
16176,1.93,2.00,-2.37,1.90
16186,1.93,2.00,-2.23,2.18
16196,1.94,2.00,-2.07,2.50
16205,1.92,2.00,-1.88,3.03
16216,1.93,2.00,-1.67,3.31
16226,1.92,2.00,-1.45,3.50
16236,1.93,2.00,-1.23,3.47
16245,1.93,2.00,-0.99,3.80
16256,1.92,2.00,-0.75,3.84
16266,1.93,2.00,-0.52,3.64
16276,1.93,2.00,-0.29,3.65
16286,1.93,2.00,-0.07,3.50
16295,1.93,2.00,0.13,3.20
16306,1.94,2.00,0.31,2.86
16316,1.94,2.00,0.47,2.56
16326,1.94,2.00,0.61,2.25
16335,1.94,2.00,0.71,1.63
16346,1.94,2.00,0.79,1.31
16356,1.94,2.00,0.84,0.84
16366,1.93,2.00,0.85,0.26
16376,1.95,2.00,0.84,-0.12
16386,1.94,2.00,0.81,-0.42
16396,1.94,2.00,0.74,-1.05
16406,1.94,2.00,0.64,-1.52
16416,1.93,2.00,0.54,-1.48
16425,1.95,2.00,0.41,-2.02
16436,1.95,2.00,0.27,-2.18
16446,1.95,2.00,0.11,-2.49
16456,1.94,2.00,-0.05,-2.45
16466,1.96,2.00,-0.22,-2.67
16476,1.95,2.00,-0.38,-2.51
16486,1.95,2.00,-0.53,-2.35
16496,1.95,2.00,-0.68,-2.36
16506,1.95,2.00,-0.82,-2.20
16516,1.95,2.00,-0.94,-1.89
16526,1.95,2.00,-1.04,-1.58
16536,1.95,2.00,-1.11,-1.11
16546,1.95,2.00,-1.16,-0.79
16557,1.95,2.00,-1.19,-0.48
16566,1.95,2.00,-1.19,-0.01
16576,1.95,2.00,-1.17,0.31
16586,1.95,2.00,-1.11,0.93
16596,1.95,2.00,-1.03,1.25
16607,1.96,2.00,-0.93,1.55
16616,1.94,2.00,-0.80,2.07
16626,1.95,2.00,-0.64,2.51
16636,1.95,2.00,-0.47,2.68
16647,1.96,2.00,-0.29,2.83
16656,1.95,2.00,-0.08,3.33
16666,1.96,2.00,0.13,3.32
16676,1.96,2.00,0.34,3.32
16687,1.96,2.00,0.56,3.48
16696,1.93,2.00,0.77,3.39
16706,1.96,2.00,0.97,3.17
16716,1.97,2.00,1.17,3.16
16727,1.97,2.00,1.35,2.85
16737,1.96,2.00,1.51,2.57
16746,1.96,2.00,1.66,2.40
16756,1.96,2.00,1.78,1.95
16766,1.96,2.00,1.86,1.31
16777,1.98,2.00,1.93,1.12
16787,1.97,2.00,1.98,0.83
16796,1.97,2.00,1.99,0.19
16806,1.97,2.00,1.96,-0.42
16817,1.97,2.00,1.93,-0.43
16827,1.96,2.00,1.86,-1.04
16836,1.97,2.00,1.76,-1.52
16846,1.97,2.00,1.64,-1.84
16857,1.97,2.00,1.52,-1.85
16867,1.97,2.00,1.37,-2.31
16877,1.96,2.00,1.21,-2.46
16886,1.97,2.00,1.04,-2.65
16897,1.98,2.00,0.86,-2.83
16907,1.97,2.00,0.68,-2.81
16917,1.98,2.00,0.52,-2.51
16926,1.97,2.00,0.35,-2.66
16936,1.98,2.00,0.19,-2.53
16947,1.97,2.00,0.06,-2.04
16957,1.98,2.00,-0.06,-1.90
16967,1.97,2.00,-0.16,-1.57
16976,1.98,2.00,-0.25,-1.43
16987,1.97,2.00,-0.30,-0.79
16997,1.98,2.00,-0.32,-0.34
17007,1.97,2.00,-0.33,-0.16
17017,1.98,2.00,-0.30,0.46
17027,1.98,2.00,-0.25,0.77
17037,1.98,2.00,-0.17,1.23
17047,1.97,2.00,-0.07,1.57
17057,1.98,2.00,0.07,2.19
17067,1.96,2.00,0.21,2.25
17077,1.98,2.00,0.37,2.52
17087,1.98,2.00,0.55,2.83
17097,1.98,2.00,0.75,3.15
17106,1.97,2.00,0.95,3.18
17117,1.97,2.00,1.15,3.18
17127,1.98,2.00,1.37,3.48
17137,1.98,2.00,1.57,3.18
17147,1.97,2.00,1.75,2.88
17157,1.97,2.00,1.94,3.04
17167,1.98,2.00,2.10,2.56
17177,1.96,2.00,2.23,2.13
17187,1.96,2.00,2.34,1.82
17198,1.97,2.00,2.44,1.64
17207,1.98,2.00,2.49,0.85
17217,1.96,2.00,2.51,0.43
17227,1.99,2.00,2.52,0.20
17238,1.98,2.00,2.48,-0.57
17247,1.99,2.00,2.41,-1.06
17257,1.99,2.00,2.32,-1.37
17267,1.96,2.00,2.19,-1.94
17277,1.99,2.00,2.03,-2.48
17288,1.98,2.00,1.85,-2.78
17297,1.96,2.00,1.66,-2.89
17307,1.99,2.00,1.44,-3.43
17317,1.99,2.00,1.21,-3.59
17328,1.98,2.00,0.99,-3.42
17337,1.98,2.00,0.75,-3.74
17347,1.97,2.00,0.51,-3.72
17357,1.98,2.00,0.29,-3.44
17368,1.97,2.00,0.08,-3.27
17378,1.98,2.00,-0.12,-3.13
17387,1.97,2.00,-0.29,-2.66
17397,1.96,2.00,-0.43,-2.16
17408,1.97,2.00,-0.55,-1.88
17418,1.98,2.00,-0.63,-1.27
17427,1.97,2.00,-0.68,-0.78
17437,1.98,2.00,-0.70,-0.33
17447,1.97,2.00,-0.68,0.32
17458,1.95,2.00,-0.62,1.00
17468,1.97,2.00,-0.53,1.43
17477,1.97,2.00,0.41,14.83
17487,1.97,2.00,-0.26,-10.46
17498,1.96,2.00,-0.09,2.71
17508,1.97,2.00,0.12,3.34
17517,1.96,2.00,0.33,3.35
17527,1.96,2.00,0.57,3.84
17538,1.97,2.00,0.81,3.81
17548,1.94,2.00,1.05,3.88
17558,1.96,2.00,1.31,4.16
17567,1.96,2.00,1.55,3.85
17577,1.95,2.00,1.76,3.42
17588,1.96,2.00,1.98,3.55
17598,1.95,2.00,2.18,3.26
17608,1.95,2.00,2.34,2.65
17617,1.96,2.00,2.48,2.31
17628,1.96,2.00,2.59,1.84
17638,1.96,2.00,2.66,1.20
17648,1.97,2.00,2.69,0.57
17657,1.97,2.00,2.71,0.41
17668,1.97,2.00,2.68,-0.38
17678,1.97,2.00,2.59,-1.32
17688,1.97,2.00,2.50,-1.32
17698,1.97,2.00,2.36,-2.11
17708,1.97,2.00,2.19,-2.58
17718,1.95,2.00,1.99,-3.02
17728,1.97,2.00,1.79,-3.07
17738,1.97,2.00,1.54,-3.86
17747,1.97,2.00,1.29,-3.87
17758,1.97,2.00,1.03,-4.04
17768,1.98,2.00,0.76,-4.21
17778,1.97,2.00,0.48,-4.34
17788,1.96,2.00,0.23,-3.87
17798,1.98,2.00,-0.02,-3.91
17808,1.97,2.00,-0.27,-3.92
17818,1.97,2.00,-0.49,-3.43
17828,1.97,2.00,-0.68,-2.97
17838,1.97,2.00,-0.86,-2.83
17848,1.96,2.00,-1.02,-2.50
17858,1.97,2.00,-1.12,-1.58
17868,1.96,2.00,-1.20,-1.23
17879,1.97,2.00,-1.26,-0.94
17888,1.97,2.00,1.28,40.02
17898,1.96,2.00,-1.25,-39.58
17908,1.94,2.00,-1.20,0.85
17918,1.96,2.00,-1.12,1.27
17928,1.95,2.00,-1.00,1.93
17938,1.95,2.00,-0.88,1.92
17948,1.96,2.00,-0.71,2.70
17958,1.93,2.00,-0.53,2.93
17969,1.95,2.00,-0.33,3.20
17978,1.96,2.00,-0.13,3.18
17988,1.96,2.00,0.08,3.37
17998,1.95,2.00,0.30,3.50
18009,1.95,2.00,0.50,3.21
18019,1.95,2.00,0.69,3.06
18028,1.94,2.00,0.88,3.10
18038,1.95,2.00,1.06,2.92
18049,1.96,2.00,1.20,2.27
18059,1.94,2.00,1.32,2.00
18068,1.94,2.00,1.41,1.53
18078,1.96,2.00,1.47,1.02
18088,1.95,2.00,1.51,0.72
18099,1.96,2.00,1.52,0.24
18108,1.97,2.00,1.47,-0.73
18118,1.95,2.00,1.40,-0.99
18128,1.96,2.00,1.30,-1.51
18139,1.97,2.00,1.16,-2.14
18149,1.97,2.00,1.00,-2.47
18158,1.97,2.00,0.82,-2.78
18168,1.97,2.00,0.61,-3.26
18179,1.96,2.00,0.36,-3.88
18189,1.97,2.00,0.12,-3.75
18199,1.96,2.00,-0.13,-3.88
18208,1.97,2.00,-0.40,-4.23
18219,1.97,2.00,-0.66,-4.07
18229,1.97,2.00,-0.90,-3.77
18239,1.97,2.00,-1.14,-3.77
18248,1.97,2.00,-1.37,-3.63
18258,1.97,2.00,-1.58,-3.31
18269,1.96,2.00,-1.76,-2.83
18279,1.96,2.00,-0.91,13.39
18289,1.97,2.00,-2.03,-17.56
18298,1.97,2.00,-0.11,30.21
18309,1.94,2.00,-2.17,-32.25
18319,1.95,2.00,-2.19,-0.31
18329,1.97,2.00,-2.16,0.44
18338,1.94,2.00,-2.10,0.98
18349,1.96,2.00,-2.02,1.24
18359,1.96,2.00,-1.89,2.04
18369,1.96,2.00,-1.72,2.67
18379,1.95,2.00,-0.55,18.45
18388,1.95,2.00,-1.33,-12.15
18399,1.96,2.00,-0.09,19.57
18409,1.95,2.00,-0.85,-11.85
18419,1.94,2.00,-0.60,3.99
18428,1.93,2.00,-0.32,4.49
18439,1.97,2.00,-0.06,4.10
18449,1.94,2.00,0.19,4.01
18459,1.94,2.00,0.43,3.86
18469,1.94,2.00,0.65,3.54
18479,1.95,2.00,0.86,3.37
18489,1.93,2.00,1.03,2.79
18499,1.94,2.00,1.19,2.62
18509,1.95,2.00,1.30,1.81
18519,1.96,2.00,1.37,1.17
18529,1.95,2.00,1.44,1.20
18539,1.96,2.00,1.45,0.22
18549,1.96,2.00,1.42,-0.39
18560,1.95,2.00,1.36,-0.84
18569,1.96,2.00,1.28,-1.18
18579,1.95,2.00,1.15,-1.94
18589,1.97,2.00,1.00,-2.31
18599,1.94,2.00,0.83,-2.57
18610,1.96,2.00,0.64,-2.93
18619,1.95,2.00,0.43,-3.24
18629,1.96,2.00,0.22,-3.26
18639,1.96,2.00,-0.00,-3.45
18650,1.96,2.00,-0.22,-3.38
18659,1.95,2.00,-0.43,-3.26
18669,1.96,2.00,-0.62,-2.95
18679,1.93,2.00,-0.81,-2.90
18690,1.96,2.00,-0.97,-2.49
18700,1.95,2.00,-1.10,-2.02
18709,1.96,2.00,-1.20,-1.56
18719,1.95,2.00,-0.27,14.67
18729,1.96,2.00,-0.30,-0.44
18740,1.96,2.00,-1.30,-15.64
18749,1.97,2.00,-1.26,0.61
18759,1.96,2.00,-1.18,1.27
18769,1.96,2.00,-1.07,1.74
18780,1.95,2.00,-0.92,2.39
18790,1.96,2.00,-0.73,3.00
18799,1.94,2.00,-0.52,3.36
18809,1.95,2.00,-0.28,3.81
18820,1.93,2.00,-0.03,4.05
18830,1.94,2.00,26.00,410.26
18839,1.94,2.00,0.55,-398.40
18849,1.95,2.00,0.84,4.63
18860,1.95,2.00,1.13,4.63
18870,1.93,2.00,1.42,4.67
18880,1.96,2.00,1.71,4.63
18889,1.95,2.00,1.97,4.17
18899,1.95,2.00,2.21,3.87
18910,1.96,2.00,2.41,3.22
18920,1.94,2.00,2.59,2.96
18930,1.96,2.00,2.74,2.46
18939,1.96,2.00,2.84,1.67
18950,1.96,2.00,2.90,1.04
18960,1.96,2.00,2.92,0.41
18970,1.97,2.00,2.91,-0.07
18979,1.97,2.00,2.85,-0.86
18990,1.98,2.00,2.75,-1.51
19000,1.97,2.00,2.63,-1.81
19010,1.97,2.00,2.47,-2.43
19020,1.97,2.00,2.27,-3.08
19030,1.97,2.00,2.06,-3.24
19040,1.98,2.00,1.84,-3.40
19050,1.98,2.00,1.59,-3.89
19060,1.96,2.00,1.34,-3.85
19069,1.98,2.00,1.09,-3.90
19080,1.98,2.00,0.83,-4.06
19090,1.98,2.00,0.58,-3.91
19100,1.98,2.00,0.38,-3.13
19110,1.97,2.00,0.18,-3.12
19120,1.98,2.00,-0.02,-3.13
19130,1.97,2.00,-0.18,-2.49
19140,1.98,2.00,-0.29,-1.73
19150,1.98,2.00,-0.39,-1.58
19160,1.98,2.00,-0.45,-0.95
19170,1.97,2.00,-0.47,-0.31
19180,1.96,2.00,-0.45,0.34
19190,1.95,2.00,-0.40,0.84
19201,1.98,2.00,-0.31,1.41
19210,1.97,2.00,-0.18,2.04
19220,1.97,2.00,-0.04,2.21
19230,1.95,2.00,0.14,2.91
19240,1.97,2.00,0.36,3.49
19250,1.97,2.00,0.58,3.49
