Starting...
7767,12.02,12.02,0.00
7776,11.86,11.86,0.00
7786,11.69,11.69,0.00
7796,11.53,11.53,0.00
7806,11.38,11.38,0.00
7816,11.23,11.23,0.00
7826,11.08,11.08,0.00
7836,10.93,10.93,0.00
7846,10.79,10.79,0.00
7857,10.65,10.65,0.00
7866,10.52,10.52,0.00
7876,10.39,10.39,0.00
7886,10.26,10.26,0.00
7897,10.13,10.13,0.00
7907,10.01,10.01,0.00
7916,9.89,9.89,0.00
7926,9.78,9.78,0.00
7937,9.66,9.66,0.00
7947,9.55,9.55,0.00
7956,9.44,9.44,0.00
7966,9.34,9.34,0.00
7976,9.23,9.23,0.00
7987,9.13,9.13,0.00
7997,9.04,9.04,0.00
8006,8.94,8.94,0.00
8016,8.85,8.85,0.00
8027,8.75,8.75,0.00
8037,8.66,8.66,0.00
8046,8.58,8.58,0.00
8056,8.49,8.49,0.00
8067,8.41,8.41,0.00
8077,8.33,8.33,0.00
8087,8.25,8.25,0.00
8096,8.17,8.17,0.00
8107,8.10,8.10,0.00
8117,8.02,8.02,0.00
8127,7.95,7.95,0.00
8136,7.88,7.88,0.00
8146,7.81,7.81,0.00
8157,7.74,7.74,0.00
8167,7.68,7.68,0.00
8177,7.62,7.62,0.00
8186,7.55,7.55,0.00
8197,7.49,7.49,0.00
8207,7.43,7.43,0.00
8217,7.37,7.37,0.00
8226,7.32,7.32,0.00
8237,7.26,7.26,0.00
8247,7.21,7.21,0.00
8257,7.16,7.16,0.00
8267,7.11,7.11,0.00
8276,7.06,7.06,0.00
8287,7.01,7.01,0.00
8297,6.96,6.96,0.00
8307,6.91,6.91,0.00
8317,6.87,6.87,0.00
8327,6.82,6.82,0.00
8337,6.78,6.78,0.00
8347,6.74,6.74,0.00
8357,6.69,6.69,0.00
8367,6.65,6.65,0.00
8377,6.62,6.62,0.00
8387,6.58,6.58,0.00
8397,6.54,6.54,0.00
8408,6.50,6.50,0.00
8417,6.47,6.47,0.00
8427,6.43,6.43,0.00
8437,6.40,6.40,0.00
8448,6.36,6.36,0.00
8457,6.33,6.33,0.00
8467,6.30,6.30,0.00
8477,6.27,6.27,0.00
8487,6.24,6.24,0.00
8498,6.21,6.21,0.00
8507,6.18,6.18,0.00
8517,6.15,6.15,0.00
8527,6.13,6.13,0.00
8538,6.10,6.10,0.00
8548,6.07,6.07,0.00
8557,6.05,6.05,0.00
8567,6.02,6.02,0.00
8578,6.00,6.00,0.00
8588,5.97,5.97,0.00
8597,5.95,5.95,0.00
8607,5.93,5.93,0.00
8617,5.91,5.91,0.00
8628,5.88,5.88,0.00
8638,5.86,5.86,0.00
8647,5.84,5.84,0.00
8657,5.82,5.82,0.00
8668,5.80,5.80,0.00
8678,5.78,5.78,0.00
8688,5.77,5.77,0.00
8697,5.75,5.75,0.00
8708,5.73,5.73,0.00
8718,5.71,5.71,0.00
8728,5.69,5.69,0.00
8737,5.68,5.68,0.00
8748,5.66,5.66,0.00
8758,5.65,5.65,0.00
8768,5.63,5.63,0.00
8778,5.62,5.62,0.00
8787,5.60,5.60,0.00
8798,5.59,5.59,0.00
8808,5.57,5.57,0.00
8818,5.56,5.56,0.00
8827,5.55,5.55,0.00
8838,5.53,5.53,0.00
8848,5.52,5.52,0.00
8858,5.51,5.51,0.00
8868,5.50,5.50,0.00
8878,5.48,5.48,0.00
8888,5.47,5.47,0.00
8898,5.46,5.46,0.00
8908,5.45,5.45,0.00
8918,5.44,5.44,0.00
8928,5.43,5.43,0.00
8938,5.42,5.42,0.00
8948,5.41,5.41,0.00
8958,5.40,5.40,0.00
8968,5.39,5.39,0.00
8978,5.38,5.38,0.00
8988,5.37,5.37,0.00
8998,5.36,5.36,0.00
9009,5.35,5.35,0.00
9018,5.35,5.35,0.00
9028,5.34,5.34,0.00
9038,5.33,5.33,0.00
9049,5.32,5.32,0.00
9058,5.31,5.31,0.00
9068,5.31,5.31,0.00
9078,5.30,5.30,0.00
9089,5.29,5.29,0.00
9099,5.28,5.28,0.00
9108,5.28,5.28,0.00
9118,5.27,5.27,0.00
9128,5.27,5.27,0.00
9139,5.26,5.26,0.00
9148,5.25,5.25,0.00
9158,5.25,5.25,0.00
9168,5.24,5.24,0.00
9179,5.23,5.23,0.00
9189,5.23,5.23,0.00
9198,5.22,5.22,0.00
9208,5.22,5.22,0.00
9219,5.21,5.21,0.00
9229,5.21,5.21,0.00
9238,5.20,5.20,0.00
9248,5.20,5.20,0.00
9259,5.19,5.19,0.00
9269,5.19,5.19,0.00
9279,5.18,5.18,0.00
9288,5.18,5.18,0.00
9298,5.18,5.18,0.00
9309,5.17,5.17,0.00
9319,5.17,5.17,0.00
9328,5.16,5.16,0.00
9338,5.16,5.16,0.00
9349,5.16,5.16,0.00
9359,5.15,5.15,0.00
9369,5.15,5.15,0.00
9378,5.15,5.15,0.00
9389,5.14,5.14,0.00
9399,5.14,5.14,0.00
9409,5.13,5.13,0.00
9418,5.13,5.13,0.00
9428,5.13,5.13,0.00
