//con restarted
161703, 0.979, 0.973, 0.750,-0.47,1.785, 0.750, 211.778
161713, 0.980, 0.974, 0.749,-0.42,1.785, 0.750, 143.029
161723, 0.982, 0.977, 0.748,-0.37,1.785, 0.750, 96.951
161733, 0.983, 0.978, 0.749,-0.33,1.785, 0.750, 66.362
161743, 0.976, 0.972, 0.750,-0.30,1.785, 0.750, 47.959
161754, 0.979, 0.975, 0.751,-0.28,1.785, 0.750, 33.396
161763, 0.981, 0.977, 0.751,-0.26,1.785, 0.750, 23.856
161773, 0.982, 0.979, 0.752,-0.24,1.785, 0.750, 17.617
161783, 0.987, 0.984, 0.751,-0.23,1.785, 0.750, 12.595
161794, 0.987, 0.984, 0.752,-0.22,1.785, 0.750, 10.491
161803, 0.988, 0.985, 0.752,-0.21,1.785, 0.750, 8.755
161813, 0.992, 0.989, 0.752,-0.21,1.785, 0.750, 6.711
161823, 0.996, 0.993, 0.751,-0.21,1.785, 0.750, 5.620
161833, 0.997, 0.994, 0.750,-0.21,1.785, 0.750, 5.412
161843, 0.998, 0.995, 0.750,-0.22,1.785, 0.750, 5.339
161853, 1.000, 0.997, 0.750,-0.24,1.785, 0.750, 5.017
161863, 1.000, 0.997, 0.751,-0.26,1.785, 0.750, 5.218
161873, 1.003, 0.999, 0.750,-0.29,1.785, 0.750, 4.707
161884, 1.003, 0.999, 0.751,-0.32,1.785, 0.750, 4.819
161893, 1.006, 1.001, 0.751,-0.36,1.785, 0.750, 4.282
161903, 1.010, 1.004, 0.750,-0.41,1.785, 0.750, 3.756
161913, 1.016, 1.010, 0.749,-0.47,1.785, 0.750, 2.636
161924, 1.017, 1.010, 0.749,-0.54,1.785, 0.750, 3.188
161933, 1.022, 1.014, 0.749,-0.61,1.785, 0.750, 2.316
161943, 1.023, 1.014, 0.750,-0.70,1.785, 0.750, 2.995
161953, 1.028, 1.018, 0.751,-0.79,1.785, 0.750, 2.165
161964, 1.032, 1.020, 0.752,-0.90,1.785, 0.750, 1.898
161973, 1.036, 1.023, 0.752,-1.01,1.785, 0.750, 1.607
161983, 1.041, 1.026, 0.751,-1.13,1.785, 0.750, 1.314
161993, 1.043, 1.026, 0.752,-1.26,1.785, 0.750, 1.651
162003, 1.048, 1.029, 0.752,-1.39,1.785, 0.750, 1.025
162013, 1.052, 1.032, 0.752,-1.53,1.785, 0.750, 0.893
162023, 1.054, 1.033, 0.751,-1.67,1.785, 0.750, 1.016
162033, 1.059, 1.035, 0.751,-1.81,1.785, 0.750, 0.615
162043, 1.062, 1.037, 0.751,-1.96,1.785, 0.750, 0.596
162054, 1.066, 1.039, 0.751,-2.11,1.785, 0.750, 0.434
162063, 1.070, 1.041, 0.752,-2.27,1.785, 0.750, 0.247
162073, 1.077, 1.045, 0.753,-2.42,1.785, 0.750, -0.588
162083, 1.081, 1.047, 0.752,-2.57,1.785, 0.750, -0.439
162094, 1.087, 1.051, 0.752,-2.72,1.785, 0.750, -1.064
162103, 1.089, 1.052, 0.752,-2.87,1.785, 0.750, -0.445
162113, 1.095, 1.055, 0.752,-3.01,1.785, 0.750, -0.844
162123, 1.097, 1.055, 0.752,-3.16,1.785, 0.750, -0.136
162134, 1.103, 1.059, 0.752,-3.30,1.785, 0.750, -0.819
162143, 1.105, 1.060, 0.752,-3.43,1.785, 0.750, -0.256
162153, 1.112, 1.066, 0.752,-3.56,1.785, 0.750, -1.319
162163, 1.116, 1.067, 0.751,-3.68,1.785, 0.750, -0.905
162173, 1.122, 1.072, 0.751,-3.79,1.785, 0.750, -1.348
162183, 1.121, 1.070, 0.750,-3.90,1.785, 0.750, 0.027
162193, 1.127, 1.075, 0.751,-4.00,1.785, 0.750, -0.638
162203, 1.130, 1.077, 0.750,-4.08,1.785, 0.750, -0.354
162213, 1.136, 1.082, 0.751,-4.17,1.785, 0.750, -0.904
162223, 1.138, 1.083, 0.751,-4.24,1.785, 0.750, -0.221
162233, 1.144, 1.087, 0.751,-4.30,1.785, 0.750, -0.553
162243, 1.147, 1.090, 0.751,-4.36,1.785, 0.750, -0.421
162253, 1.150, 1.093, 0.751,-4.41,1.785, 0.750, -0.051
162264, 1.149, 1.091, 0.751,-4.45,1.785, 0.750, 1.371
162273, 1.155, 1.097, 0.751,-4.47,1.785, 0.750, 0.376
162283, 1.161, 1.102, 0.751,-4.49,1.785, 0.750, -0.176
162293, 1.163, 1.104, 0.752,-4.49,1.785, 0.750, 0.505
162304, 1.167, 1.108, 0.751,-4.49,1.785, 0.750, 0.491
162313, 1.170, 1.111, 0.752,-4.48,1.785, 0.750, 0.767
162323, 1.169, 1.111, 0.752,-4.45,1.785, 0.750, 1.827
162333, 1.172, 1.114, 0.752,-4.42,1.785, 0.750, 1.936
162343, 1.177, 1.120, 0.752,-4.37,1.785, 0.750, 1.252
162353, 1.175, 1.118, 0.752,-4.31,1.785, 0.750, 2.765
162363, 1.184, 1.128, 0.751,-4.25,1.785, 0.750, 0.834
162373, 1.189, 1.134, 0.750,-4.18,1.785, 0.750, 0.827
162383, 1.193, 1.140, 0.750,-4.09,1.785, 0.750, 0.845
162394, 1.198, 1.146, 0.751,-4.00,1.785, 0.750, 0.889
162403, 1.203, 1.152, 0.751,-3.89,1.785, 0.750, 0.949
162413, 1.207, 1.158, 0.751,-3.78,1.785, 0.750, 1.024
162423, 1.212, 1.164, 0.750,-3.66,1.785, 0.750, 1.106
162434, 1.216, 1.169, 0.750,-3.53,1.785, 0.750, 1.517
162443, 1.215, 1.170, 0.750,-3.39,1.785, 0.750, 3.025
162453, 1.218, 1.175, 0.751,-3.24,1.785, 0.750, 3.067
162463, 1.225, 1.184, 0.751,-3.08,1.785, 0.750, 2.064
162473, 1.231, 1.193, 0.751,-2.93,1.785, 0.750, 1.556
162483, 1.236, 1.200, 0.751,-2.76,1.785, 0.750, 1.670
162493, 1.239, 1.205, 0.752,-2.59,1.785, 0.750, 2.097
162503, 1.245, 1.213, 0.751,-2.42,1.785, 0.750, 2.026
162513, 1.246, 1.217, 0.751,-2.24,1.785, 0.750, 2.975
162523, 1.251, 1.224, 0.751,-2.05,1.785, 0.750, 2.794
162533, 1.253, 1.228, 0.751,-1.87,1.785, 0.750, 3.309
162543, 1.257, 1.235, 0.751,-1.68,1.785, 0.750, 3.185
162553, 1.261, 1.242, 0.751,-1.49,1.785, 0.750, 3.093
162564, 1.261, 1.244, 0.751,-1.30,1.785, 0.750, 4.275
162573, 1.269, 1.255, 0.752,-1.11,1.785, 0.750, 2.837
162583, 1.276, 1.264, 0.752,-0.92,1.785, 0.750, 2.100
162593, 1.274, 1.264, 0.750,-0.73,1.785, 0.750, 4.294
162604, 1.280, 1.273, 0.750,-0.55,1.785, 0.750, 3.369
162613, 1.280, 1.275, 0.750,-0.37,1.785, 0.750, 4.421
162623, 1.282, 1.279, 0.750,-0.19,1.785, 0.750, 4.487
162633, 1.288, 1.288, 0.750,-0.01,1.785, 0.750, 3.412
