//con restarted
//#define xOuterP 1.4
//#define xOuterI 6/8
//#define xOuterD 1.4
//#define xOuterGain 5.5
//
//#define xInnerP 1.5
//#define xInnerI 0.0
//#define xInnerD 1
//#define xInnerGain 8
131663, 0.503, 0.514, 0.750,0.82,3.500, 0.750, -2.087, 792.356
131674, 0.504, 0.515, 0.751,0.80,3.500, 0.750, -1.715, 535.539
131683, 0.501, 0.511, 0.751,0.78,3.500, 0.750, -1.405, 365.688
131693, 0.503, 0.513, 0.752,0.76,3.500, 0.750, -1.146, 250.954
131703, 0.503, 0.513, 0.752,0.74,3.500, 0.750, -0.934, 174.913
131714, 0.506, 0.515, 0.751,0.72,3.500, 0.750, -0.759, 123.602
131723, 0.505, 0.515, 0.752,0.71,3.500, 0.750, -0.625, 90.200
131733, 0.504, 0.513, 0.752,0.70,3.500, 0.750, -0.519, 68.222
131743, 0.503, 0.512, 0.752,0.70,3.500, 0.750, -0.446, 53.470
131753, 0.505, 0.514, 0.752,0.69,3.500, 0.750, -0.390, 42.613
131763, 0.505, 0.514, 0.751,0.69,3.500, 0.750, -0.339, 36.186
131773, 0.507, 0.516, 0.750,0.69,3.500, 0.750, -0.296, 31.244
131783, 0.511, 0.520, 0.751,0.68,3.500, 0.750, -0.251, 27.460
131793, 0.512, 0.520, 0.752,0.67,3.500, 0.750, -0.207, 25.816
131804, 0.516, 0.524, 0.752,0.65,3.500, 0.750, -0.157, 23.805
131813, 0.519, 0.527, 0.752,0.63,3.500, 0.750, -0.102, 22.724
131823, 0.523, 0.531, 0.751,0.61,3.500, 0.750, -0.038, 21.572
131833, 0.526, 0.533, 0.751,0.57,3.500, 0.750, 0.048, 21.406
131844, 0.531, 0.538, 0.752,0.52,3.500, 0.750, 0.142, 20.503
131853, 0.536, 0.542, 0.752,0.45,3.500, 0.750, 0.263, 19.907
131863, 0.538, 0.543, 0.751,0.38,3.500, 0.750, 0.395, 20.479
131873, 0.540, 0.544, 0.752,0.29,3.500, 0.750, 0.540, 20.644
131884, 0.543, 0.546, 0.753,0.19,3.500, 0.750, 0.702, 20.577
131893, 0.546, 0.547, 0.753,0.07,3.500, 0.750, 0.879, 20.413
131903, 0.553, 0.552, 0.752,-0.01,3.500, 0.750, 0.934, 19.556
131913, 0.557, 0.555, 0.752,-0.18,3.500, 0.750, 1.209, 19.363
131923, 0.562, 0.559, 0.752,-0.21,3.500, 0.750, 1.078, 19.253
131934, 0.567, 0.561, 0.752,-0.45,3.500, 0.750, 1.520, 19.116
131943, 0.572, 0.567, 0.752,-0.43,3.500, 0.750, 1.220, 18.734
131953, 0.578, 0.568, 0.751,-0.75,3.500, 0.750, 1.864, 18.489
131963, 0.585, 0.576, 0.752,-0.68,3.500, 0.750, 1.396, 18.083
131974, 0.590, 0.575, 0.752,-1.09,3.500, 0.750, 2.232, 18.218
131983, 0.594, 0.581, 0.751,-0.97,3.500, 0.750, 1.598, 18.634
131993, 0.602, 0.583, 0.752,-1.48,3.500, 0.750, 2.643, 17.520
132003, 0.608, 0.590, 0.752,-1.32,3.500, 0.750, 1.845, 17.723
132014, 0.613, 0.589, 0.753,-1.80,3.500, 0.750, 2.798, 17.853
132023, 0.618, 0.589, 0.753,-2.21,3.500, 0.750, 3.439, 17.954
132033, 0.626, 0.592, 0.753,-2.57,3.500, 0.750, 3.861, 17.391
132043, 0.635, 0.597, 0.752,-2.89,3.500, 0.750, 4.128, 16.544
132054, 0.642, 0.600, 0.752,-3.19,3.500, 0.750, 4.283, 16.579
132063, 0.650, 0.605, 0.752,-3.47,3.500, 0.750, 4.394, 16.063
132073, 0.653, 0.604, 0.753,-3.73,3.500, 0.750, 4.454, 17.234
132083, 0.662, 0.609, 0.752,-3.99,3.500, 0.750, 4.500, 16.618
132093, 0.671, 0.616, 0.753,-4.24,3.500, 0.750, 4.526, 15.776
132104, 0.680, 0.621, 0.753,-4.49,3.500, 0.750, 4.545, 15.523
132113, 0.691, 0.629, 0.753,-4.73,3.500, 0.750, 4.569, 14.625
132123, 0.700, 0.634, 0.753,-4.98,3.500, 0.750, 4.596, 14.738
132133, 0.711, 0.642, 0.752,-5.23,3.500, 0.750, 4.626, 14.071
132144, 0.720, 0.648, 0.752,-5.47,3.500, 0.750, 4.661, 14.028
132153, 0.730, 0.655, 0.752,-5.72,3.500, 0.750, 4.704, 13.965
132163, 0.738, 0.660, 0.753,-5.97,3.500, 0.750, 4.756, 14.211
132173, 0.749, 0.668, 0.752,-6.22,3.500, 0.750, 4.812, 13.636
132184, 0.760, 0.675, 0.752,-6.48,3.500, 0.750, 4.875, 13.324
132193, 0.770, 0.682, 0.751,-6.74,3.500, 0.750, 4.944, 13.160
132203, 0.779, 0.688, 0.751,-7.00,3.500, 0.750, 5.018, 13.396
132213, 0.790, 0.695, 0.752,-7.26,3.500, 0.750, 5.086, 13.189
132224, 0.795, 0.697, 0.752,-7.52,3.500, 0.750, 5.156, 14.317
132233, 0.807, 0.706, 0.752,-7.78,3.500, 0.750, 5.216, 13.215
132243, 0.819, 0.714, 0.752,-8.04,3.500, 0.750, 5.272, 12.604
132253, 0.829, 0.721, 0.752,-8.29,3.500, 0.750, 5.310, 12.659
132263, 0.839, 0.727, 0.753,-8.54,3.500, 0.750, 5.345, 12.663
132273, 0.848, 0.733, 0.753,-8.78,3.500, 0.750, 5.362, 13.007
132283, 0.860, 0.742, 0.754,-9.01,3.500, 0.750, 5.369, 12.167
132293, 0.871, 0.750, 0.754,-9.25,3.500, 0.750, 5.384, 12.115
132303, 0.885, 0.760, 0.754,-9.47,3.500, 0.750, 5.390, 11.127
132314, 0.890, 0.763, 0.753,-9.69,3.500, 0.750, 5.365, 12.637
132323, 0.900, 0.771, 0.754,-9.90,3.500, 0.750, 5.337, 12.439
132333, 0.915, 0.783, 0.753,-10.10,3.500, 0.750, 5.304, 11.012
132343, 0.928, 0.793, 0.753,-10.28,3.500, 0.750, 5.235, 10.731
132354, 0.941, 0.804, 0.753,-10.45,3.500, 0.750, 5.164, 10.334
132363, 0.954, 0.815, 0.753,-10.62,3.500, 0.750, 5.075, 9.977
132373, 0.965, 0.824, 0.753,-10.77,3.500, 0.750, 4.980, 10.230
132383, 0.979, 0.837, 0.753,-10.90,3.500, 0.750, 4.857, 9.548
132393, 0.986, 0.842, 0.753,-11.02,3.500, 0.750, 4.746, 10.951
132404, 0.999, 0.853, 0.754,-11.13,3.500, 0.750, 4.619, 10.403
132413, 1.013, 0.867, 0.752,-11.23,3.500, 0.750, 4.484, 9.613
132423, 1.026, 0.879, 0.752,-11.31,3.500, 0.750, 4.348, 9.320
132433, 1.039, 0.890, 0.752,-11.38,3.500, 0.750, 4.187, 9.324
132444, 1.051, 0.902, 0.752,-11.43,3.500, 0.750, 4.019, 9.185
132453, 1.066, 0.916, 0.752,-11.47,3.500, 0.750, 3.839, 8.594
132463, 1.080, 0.930, 0.752,-11.49,3.500, 0.750, 3.661, 8.200
132473, 1.093, 0.943, 0.752,-11.50,3.500, 0.750, 3.475, 8.172
132484, 1.105, 0.955, 0.752,-11.51,3.500, 0.750, 3.303, 8.402
132493, 1.119, 0.970, 0.752,-11.49,3.500, 0.750, 3.110, 8.030
132503, 1.130, 0.980, 0.753,-11.46,3.500, 0.750, 2.923, 8.675
132513, 1.146, 0.997, 0.753,-11.42,3.500, 0.750, 2.723, 7.587
132524, 1.161, 1.013, 0.753,-11.36,3.500, 0.750, 2.518, 7.211
132533, 1.174, 1.027, 0.754,-11.28,3.500, 0.750, 2.302, 7.307
132543, 1.189, 1.043, 0.754,-11.19,3.500, 0.750, 2.078, 6.907
132553, 1.204, 1.059, 0.753,-11.08,3.500, 0.750, 1.846, 6.629
132563, 1.216, 1.073, 0.753,-10.97,3.500, 0.750, 1.639, 7.107
132573, 1.228, 1.086, 0.754,-10.83,3.500, 0.750, 1.412, 7.525
132583, 1.244, 1.104, 0.752,-10.69,3.500, 0.750, 1.188, 6.636
132593, 1.260, 1.122, 0.753,-10.53,3.500, 0.750, 0.960, 5.833
132603, 1.274, 1.139, 0.753,-10.35,3.500, 0.750, 0.722, 5.991
132614, 1.283, 1.150, 0.754,-10.17,3.500, 0.750, 0.494, 7.292
132623, 1.299, 1.169, 0.754,-9.97,3.500, 0.750, 0.250, 6.239
132633, 1.312, 1.184, 0.754,-9.75,3.500, 0.750, 0.017, 6.535
132643, 1.326, 1.201, 0.755,-9.53,3.500, 0.750, -0.205, 6.255
132654, 1.340, 1.218, 0.754,-9.29,3.500, 0.750, -0.450, 6.006
132663, 1.353, 1.235, 0.753,-9.04,3.500, 0.750, -0.695, 6.099
132673, 1.365, 1.250, 0.754,-8.78,3.500, 0.750, -0.905, 6.394
132683, 1.378, 1.266, 0.754,-8.51,3.500, 0.750, -1.148, 6.364
132694, 1.393, 1.285, 0.754,-8.22,3.500, 0.750, -1.393, 5.613
132703, 1.407, 1.303, 0.754,-7.92,3.500, 0.750, -1.629, 5.432
132713, 1.421, 1.322, 0.754,-7.59,3.500, 0.750, -1.915, 5.251
132723, 1.437, 1.341, 0.753,-7.28,3.500, 0.750, -2.129, 4.763
132733, 1.451, 1.360, 0.753,-6.94,3.500, 0.750, -2.387, 4.773
132743, 1.465, 1.379, 0.753,-6.59,3.500, 0.750, -2.636, 4.718
132753, 1.480, 1.399, 0.752,-6.23,3.500, 0.750, -2.861, 4.307
132763, 1.497, 1.420, 0.752,-5.86,3.500, 0.750, -3.126, 3.742
132773, 1.512, 1.441, 0.751,-5.49,3.500, 0.750, -3.333, 3.443
132784, 1.530, 1.464, 0.750,-5.10,3.500, 0.750, -3.577, 2.675
132793, 1.544, 1.482, 0.750,-4.71,3.500, 0.750, -3.793, 3.298
132803, 1.560, 1.504, 0.750,-4.30,3.500, 0.750, -4.034, 2.972
132813, 1.578, 1.527, 0.751,-3.89,3.500, 0.750, -4.250, 2.192
132824, 1.596, 1.550, 0.752,-3.48,3.500, 0.750, -4.437, 1.593
132833, 1.613, 1.573, 0.752,-3.06,3.500, 0.750, -4.638, 1.357
132843, 1.630, 1.595, 0.752,-2.65,3.500, 0.750, -4.809, 1.349
132853, 1.647, 1.618, 0.752,-2.23,3.500, 0.750, -4.990, 1.126
132864, 1.659, 1.635, 0.752,-1.80,3.500, 0.750, -5.170, 2.397
